TÍTULO DA TABELA,TÍTULO DA NOTA,LINK,DATA DE PUBLICAÇÃO,HORÁRIO DE PUBLICAÇÃO,DATA DE ATUALIZAÇÃO,HORÁRIO DE ATUALIZAÇÃO,ANO,MÊS,NÚMERO DA NOTA,CATEGORIA
Notas à Imprensa - Itamaraty,"Visita do Ministro Antonio de Aguiar Patriota ao Paraguai – Assunção, 17 de janeiro de 2011",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-antonio-de-aguiar-patriota-ao-paraguai-assuncao-17-de-janeiro-de-2011,14/01/2011,10h23,31/10/2022,17h23,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Um ano do terremoto no Haiti,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/um-ano-do-terremoto-no-haiti,12/01/2011,08h38,31/10/2022,17h23,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Adesão do Brasil ao Banco de Desenvolvimento do Caribe (BDC) como Sócio Regional,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/adesao-do-brasil-ao-banco-de-desenvolvimento-do-caribe-bdc-como-socio-regional,11/01/2011,18h29,31/10/2022,17h23,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Controle Integrado de Fronteiras entre Brasil e Peru – 10 a 13 de janeiro de 2011,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/controle-integrado-de-fronteiras-entre-brasil-e-peru-10-a-13-de-janeiro-de-2011,10/01/2011,15h07,31/10/2022,17h23,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Referendo sobre o status do Sul do Sudão,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/referendo-sobre-o-status-do-sul-do-sudao,08/01/2011,20h44,31/10/2022,17h23,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Visita do Ministro Antonio de Aguiar Patriota à Argentina – Buenos Aires, 10 de janeiro de 2011",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-antonio-de-aguiar-patriota-a-argentina-buenos-aires-10-de-janeiro-de-2011,07/01/2011,16h23,31/10/2022,17h23,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"ASPA – III Reunião de Cúpula de Chefes de Estado e de Governo da América do Sul e de Países Árabes – Credenciamento de imprensa – Lima, 16 de fevereiro",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/aspa-iii-reuniao-de-cupula-de-chefes-de-estado-e-de-governo-da-america-do-sul-e-de-paises-arabes-credenciamento-de-imprensa-lima-16-de-fevereiro,07/01/2011,12h15,31/10/2022,17h23,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Discurso do Ministro Antonio de Aguiar Patriota na cerimônia de transmissão do cargo de Ministro de Estado das Relações Exteriores - Brasília, 2 de janeiro de 2011",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-do-ministro-antonio-de-aguiar-patriota-na-cerimonia-de-transmissao-do-cargo-de-ministro-de-estado-das-relacoes-exteriores-brasilia-2-de-janeiro-de-2011,02/01/2011,22h00,18/02/2016,16h05,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Discurso do Embaixador Celso Amorim na cerimônia de transmissão do cargo de Ministro de Estado das Relações Exteriores – Brasília, 2 de janeiro de 2011",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-do-embaixador-celso-amorim-na-cerimonia-de-transmissao-do-cargo-de-ministro-de-estado-das-relacoes-exteriores-brasilia-2-de-janeiro-de-2011,02/01/2011,22h00,18/02/2016,16h03,2011,Janeiro,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Encontro entre o Ministro Antonio de Aguiar Patriota e o Ministro das Relações Exteriores, Comércio Internacional e Culto da Argentina, Héctor Timerman – Brasília, 2 de janeiro de 2011",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/encontro-entre-o-ministro-antonio-de-aguiar-patriota-e-o-ministro-das-relacoes-exteriores-comercio-internacional-e-culto-da-argentina-hector-timerman-brasilia-2-de-janeiro-de-2011,02/01/2011,13h27,16/02/2016,14h49,2011,Janeiro,N/A,Sem categoria
